Calabria,0.625,0.64873057507670984
Campania,0.76425855513307983,1.4322079046735676
Ciudad Autónoma de Buenos Aires,0.1111111111111111,0.28774792612569555
Distrito Nacional,0.25,0.1503032825880114
Emilia-Romagna,0.83333333333333326,0.60947685204909618
Lazio,0.38073394495412838,0.55416665929311482
Liguria,0.58914728682170536,0.51568826064954321
Lombardia,0.68486916951080767,0.98966867975827955
Marche,0.71653543307086609,0.9734122949399524
Piemonte,0.69879518072289148,0.69359826483061537
Puglia,0.68055555555555547,0.89137774049577478
Sardegna,0.4701986754966887,0.32462425478822488
Sardigna/Sardegna,0.0769230769230769,8.7155963302752285E-2
Sicilia,0.77419354838709675,1.3694106654124811
Singapore,1.0625,1.6451145742553954
Toscana,0.42857142857142849,0.43404965334714191
Trentino-Alto Adige/Südtirol,,
Veneto,0.79670329670329665,0.58912778160881796
