SymphonyCodePK,BPM,Rolloff,Flux,RMS,Flatness,Spectral_Complexity,Pitch,Loudness
SYM5725,123.55,1757.5107,1.2729,0.0989,0.7685,15.6352,1966.9267,8.317
SYM5726,139.92,1503.9192,1.0215,0.1141,0.9262,13.1496,2247.4402,9.7834
SYM5727,123.44,920.2084,1.3852,0.2701,0.9226,27.5512,2256.1366,30.6962
SYM5728,123.9,1904.4653,1.4797,0.1658,0.8531,21.2362,2358.2487,16.7816
SYM5729,144.53,2575.5605,1.4889,0.3362,0.6574,40.2237,2317.0527,40.3313
SYM5730,129.9,1767.4889,1.4756,0.2225,0.811,30.2422,2147.1863,23.5673
SYM5731,172.27,1870.4136,1.2055,0.0473,0.8066,10.3471,1910.5469,3.0792
SYM5732,123.17,1311.6407,1.3786,0.2347,0.8511,28.149,2316.3683,25.7603
SYM5733,128.07,1981.5192,1.19,0.1739,0.8441,23.766,1580.3057,17.8859
SYM5734,114.82,2088.97,1.4235,0.258,0.8133,38.8414,1981.0784,28.6331
SYM5735,143.41,1684.0991,1.3675,0.0392,0.6429,5.8728,2391.7455,2.4076
SYM5736,129.23,1993.3992,1.1444,0.1051,0.6547,20.5016,1632.1564,9.4868
SYM5737,128.19,2612.5539,0.9888,0.2878,0.6968,53.6906,1689.8457,32.5872
SYM5738,135.35,441.0156,1.4329,0.3087,0.9485,18.8855,2858.6307,35.2883
SYM5739,143.74,1732.7236,1.5126,0.1817,0.8215,21.7714,2770.7821,18.4993
SYM5740,119.97,1374.8071,1.3345,0.2575,0.9409,32.3523,2251.4525,27.8205
SYM5741,122.84,1630.0231,1.4536,0.1364,0.8395,15.1396,2426.408,12.7007
SYM5742,89.49,1068.714,1.1171,0.1008,0.9515,14.6863,1799.1954,7.9678
SYM5743,162.06,1591.3993,1.1744,0.2788,0.8772,31.6262,2071.7742,31.6435
SYM5744,92.73,1319.1521,1.1625,0.1604,0.8133,19.3144,2712.7306,15.2852
SYM5745,129.94,1398.3337,1.2565,0.2263,0.9075,22.7717,2611.7485,23.4257
SYM5746,91.9,1652.729,1.3021,0.3056,0.911,34.7596,2209.9562,35.1157
SYM5747,102.91,1211.4965,1.3606,0.2961,0.9505,34.6883,2073.6437,33.7577
SYM5748,90.08,2650.8922,1.3441,0.2424,0.8407,36.8603,1748.9445,26.6419
SYM5749,84.97,1887.2574,1.4047,0.2665,0.8906,26.409,2069.7537,30.131
SYM5750,135.88,1154.9842,1.4134,0.3505,0.9305,31.6772,2448.9535,42.0152
SYM5751,103.97,1492.7682,1.2944,0.2231,0.8344,24.6795,2575.2916,24.3641
SYM5752,123.67,1816.3163,1.2429,0.2983,0.8834,37.3459,1676.2283,34.7311
SYM5753,141.89,1618.6675,1.2534,0.2949,0.8347,32.3431,1781.0223,33.5729
SYM5754,150.25,1621.2928,1.303,0.2431,0.8872,28.7952,2110.727,27.0781
SYM5755,96.99,1267.2586,1.1272,0.3234,0.9101,44.5134,2242.021,37.7944
SYM5756,88.03,2122.5485,1.2246,0.2592,0.9262,41.3137,1981.0653,28.1528
SYM5757,114.86,1050.3317,1.1508,0.326,0.9177,38.0479,1722.167,38.4506
SYM5758,120.07,2195.6248,1.3909,0.263,0.8979,30.6372,2105.1499,29.5127
SYM5759,89.93,1470.8514,1.0524,0.2185,0.89,26.5286,1783.1953,24.1641
SYM5760,129.96,889.8938,1.1717,0.2611,0.9382,25.4834,2248.1938,29.1954
SYM5761,99.82,1542.4345,1.1406,0.2899,0.8046,36.1274,2296.6978,33.5944
SYM5762,139.91,1272.9005,1.3834,0.3169,0.8799,30.1622,1833.6341,37.4734
SYM5763,92.47,1211.7005,1.1621,0.2992,0.8479,35.6927,2347.8634,34.6664
SYM5764,123.87,1004.9617,1.2795,0.3277,0.8634,27.815,2911.5914,39.6028
SYM5765,99.97,890.3699,1.1611,0.2789,0.9365,27.8976,2602.2773,31.4162
SYM5766,129.9,2385.6349,1.3392,0.2854,0.7421,35.6715,2325.3366,32.5359
SYM5767,139.87,1453.4973,1.0389,0.2363,0.9106,30.858,2180.6233,26.2637
SYM5768,126.88,1395.3659,1.3257,0.2134,0.8754,24.9479,2025.5808,22.785
SYM5769,129.67,2014.7021,1.3953,0.2371,0.8483,34.0361,2474.1185,25.8722
SYM5770,120.06,2831.0582,1.3862,0.2418,0.6936,29.898,2203.3349,26.5079
SYM5771,109.86,1671.4723,1.1823,0.2785,0.8623,33.4566,2119.6659,31.8584
SYM5772,80.91,1943.2526,1.2,0.248,0.8215,29.5116,1740.7448,27.6327
SYM5773,172.27,1826.592,1.1845,0.2797,0.8887,38.6378,1700.9603,31.6375
SYM5774,122.85,1078.5213,1.2277,0.2244,0.8556,19.5719,2446.1371,24.9112
