TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
225,68.0,713.0,3.6923076923,9.3815789474,1
226,40.0,372.0,3.85,6.0,0
227,64.0,479.0,3.4594594595,6.7464788732,0
228,59.0,485.0,3.3156424581,10.1041666667,0
229,82.0,753.0,3.5391304348,9.6538461538,1
230,49.0,426.0,3.3523316062,4.3917525773,1
231,59.0,667.0,3.7581818182,5.0916030534,0
232,34.0,404.0,3.5229110512,5.05,0
233,40.0,354.0,3.5430463576,5.2058823529,0
234,36.0,313.0,3.6360424028,5.2166666667,0
235,75.0,565.0,4.0759493671,6.4942528736,1
236,45.0,511.0,3.9615384615,6.8133333333,0
237,62.0,572.0,3.7356076759,6.7294117647,1
238,44.0,324.0,3.8095238095,10.8,0
239,53.0,468.0,3.8701923077,6.4109589041,0
240,50.0,587.0,3.4476190476,9.9491525424,1
241,38.0,308.0,4.4357798165,11.8461538462,0
242,47.0,329.0,3.8506493506,4.4459459459,0
243,81.0,504.0,4.2807881773,7.7538461538,1
244,51.0,496.0,3.9827586207,5.5111111111,1
245,41.0,327.0,3.8741258741,7.2666666667,0
246,48.0,380.0,3.7543859649,4.6341463415,0
247,45.0,339.0,3.9,9.6857142857,0
248,54.0,562.0,3.6681034483,5.793814433,0
249,27.0,159.0,3.828358209,6.9130434783,1
250,36.0,316.0,3.1153846154,5.8518518519,0
251,53.0,499.0,4.1767337808,4.3771929825,0
252,34.0,243.0,3.4700460829,5.170212766,0
253,35.0,323.0,3.8308270677,7.8780487805,1
254,63.0,449.0,3.9900249377,5.1022727273,0
255,29.0,181.0,3.7409638554,6.0333333333,1
256,57.0,563.0,3.8095238095,7.4078947368,1
257,12.0,126.0,3.8018018018,8.4,1
258,61.0,657.0,3.524361949,9.8059701493,1
259,35.0,283.0,5.1274509804,9.4333333333,1
260,22.0,163.0,4.0330578512,10.1875,1
261,21.0,243.0,4.1712962963,5.170212766,1
262,20.0,174.0,3.5714285714,10.2352941176,1
263,16.0,130.0,3.5189873418,0.0,0
264,40.0,310.0,4.1127819549,7.2093023256,1
