TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
225,68.0,713.0,,,,
226,40.0,372.0,,,,
227,64.0,479.0,,,,
228,59.0,485.0,,,,
229,82.0,753.0,,,,
230,49.0,426.0,,,,
231,59.0,667.0,,,,
232,34.0,404.0,,,,
233,40.0,354.0,,,,
234,36.0,313.0,,,,
235,75.0,565.0,,,,
236,45.0,511.0,,,,
237,62.0,572.0,,,,
238,44.0,324.0,,,,
239,53.0,468.0,,,,
240,50.0,587.0,,,,
241,38.0,308.0,,,,
242,47.0,329.0,,,,
243,81.0,504.0,,,,
244,51.0,496.0,,,,
245,41.0,327.0,,,,
246,48.0,380.0,,,,
247,45.0,339.0,,,,
248,54.0,562.0,,,,
249,27.0,159.0,,,,
250,36.0,316.0,,,,
251,53.0,499.0,,,,
252,34.0,243.0,,,,
253,35.0,323.0,,,,
254,63.0,449.0,,,,
255,29.0,181.0,,,,
256,57.0,563.0,,,,
257,12.0,126.0,,,,
258,61.0,657.0,,,,
259,35.0,283.0,,,,
260,22.0,163.0,,,,
261,21.0,243.0,,,,
262,20.0,174.0,,,,
263,16.0,130.0,,,,
264,40.0,310.0,,,,
265,2.0,28.0,,,,
266,31.0,266.0,,,,
267,24.0,185.0,,,,
268,43.0,414.0,,,,
269,81.0,611.0,,,,
270,12.0,112.0,,,,
271,50.0,408.0,,,,
272,24.0,209.0,,,,
273,1.0,20.0,,,,
274,33.0,244.0,,,,
275,29.0,193.0,,,,
276,18.0,104.0,,,,
277,25.0,390.0,,,,
278,1.0,27.0,,,,
279,31.0,142.0,,,,
280,1.0,4.0,,,,
281,21.0,94.0,,,,
282,6.0,57.0,,,,
283,80.0,705.0,,,,
284,12.0,106.0,,,,
285,45.0,467.0,,,,
286,1.0,18.0,,,,
287,43.0,446.0,,,,
288,1.0,25.0,,,,
289,1.0,18.0,,,,
290,29.0,286.0,,,,
291,3.0,34.0,,,,
292,15.0,113.0,,,,
293,51.0,576.0,,,,
294,26.0,226.0,,,,
295,30.0,332.0,,,,
296,1.0,19.0,,,,
297,39.0,407.0,,,,
298,15.0,105.0,,,,
299,31.0,217.0,,,,
300,36.0,235.0,,,,
301,9.0,46.0,,,,
302,14.0,141.0,,,,
303,13.0,109.0,,,,
304,12.0,59.0,,,,
305,53.0,704.0,,,,
306,60.0,536.0,,,,
307,47.0,485.0,,,,
308,37.0,271.0,,,,
309,55.0,573.0,,,,
310,59.0,630.0,,,,
311,53.0,650.0,,,,
312,49.0,573.0,,,,
313,60.0,578.0,,,,
314,53.0,500.0,,,,
315,52.0,534.0,,,,
316,45.0,421.0,,,,
317,58.0,561.0,,,,
318,52.0,460.0,,,,
319,50.0,523.0,,,,
320,49.0,617.0,,,,
321,63.0,730.0,,,,
322,47.0,470.0,,,,
323,28.0,286.0,,,,
324,52.0,495.0,,,,
325,44.0,671.0,,,,
326,56.0,467.0,,,,
327,61.0,551.0,,,,
328,52.0,398.0,,,,
329,47.0,527.0,,,,
330,70.0,685.0,,,,
331,51.0,548.0,,,,
332,76.0,539.0,,,,
333,67.0,684.0,,,,
334,64.0,619.0,,,,
335,60.0,647.0,,,,
336,67.0,594.0,,,,
337,59.0,611.0,,,,
338,57.0,520.0,,,,
339,62.0,613.0,,,,
340,68.0,680.0,,,,
341,66.0,745.0,,,,
342,53.0,420.0,,,,
343,44.0,444.0,,,,
344,59.0,519.0,,,,
345,91.0,654.0,,,,
346,58.0,500.0,,,,
347,56.0,593.0,,,,
348,91.0,825.0,,,,
349,36.0,405.0,,,,
350,53.0,488.0,,,,
351,55.0,540.0,,,,
352,59.0,615.0,,,,
353,72.0,784.0,,,,
354,53.0,412.0,,,,
355,56.0,537.0,,,,
356,67.0,654.0,,,,
357,74.0,636.0,,,,
358,80.0,528.0,,,,
359,49.0,546.0,,,,
360,63.0,699.0,,,,
361,60.0,453.0,,,,
362,55.0,453.0,,,,
363,68.0,378.0,,,,
364,53.0,472.0,,,,
365,67.0,926.0,,,,
366,44.0,410.0,,,,
367,63.0,593.0,,,,
368,55.0,499.0,,,,
369,62.0,512.0,,,,
370,54.0,403.0,,,,
371,56.0,578.0,,,,
372,49.0,532.0,,,,
373,52.0,477.0,,,,
374,61.0,612.0,,,,
375,73.0,692.0,,,,
376,74.0,548.0,,,,
377,52.0,502.0,,,,
378,58.0,452.0,,,,
379,70.0,471.0,,,,
380,45.0,408.0,,,,
381,87.0,660.0,,,,
382,55.0,622.0,,,,
383,80.0,520.0,,,,
384,60.0,540.0,,,,
385,42.0,450.0,,,,
386,66.0,541.0,,,,
387,34.0,320.0,,,,
388,59.0,554.0,,,,
389,90.0,491.0,,,,
390,65.0,734.0,,,,
391,52.0,500.0,,,,
392,71.0,533.0,,,,
393,53.0,505.0,,,,
394,44.0,370.0,,,,
395,49.0,361.0,,,,
396,63.0,465.0,,,,
397,69.0,752.0,,,,
398,69.0,685.0,,,,
399,50.0,397.0,,,,
400,46.0,381.0,,,,
401,78.0,654.0,,,,
402,52.0,562.0,,,,
403,76.0,686.0,,,,
404,49.0,539.0,,,,
405,59.0,444.0,,,,
406,59.0,529.0,,,,
407,60.0,511.0,,,,
408,59.0,646.0,,,,
409,69.0,854.0,,,,
410,63.0,655.0,,,,
411,61.0,470.0,,,,
412,94.0,633.0,,,,
413,55.0,308.0,,,,
414,75.0,747.0,,,,
415,61.0,509.0,,,,
416,47.0,435.0,,,,
417,72.0,726.0,,,,
418,55.0,592.0,,,,
