shablo,4.589197327173733
mahmood,2.7122190277210221
j-ax,2.6194264190499243
shiva,1.5346305395585715
rkomi,1.5291728946527159
mudimbi,1.4967543005517689
mondo marcio,1.3832889744000856
rondodasosa,1.3737519265094975
sottotono,1.3724879776525778
madame,1.3700622696772566
beba,1.2924854321853279
capo plaza,1.2876605596218806
ernia,1.2424378555659492
achille lauro,1.1917379827949726
bassi maestro,1.1704552678917992
grido,1.1316376350341648
papa v,1.0606651352946912
entics,1.0373853926200558
babaman,1.037197320309903
tormento,1.024880552715459
caneda,1.0141635145917378
99 posse,1.0071923064792523
nesli,1.0059739172079802
fabri fibra,0.99991854848695572
vacca,0.94298851147960006
ghemon,0.93987426050552325
emis killa,0.93195325251618499
brusco,0.92891940106184789
hell raton,0.92056536321085025
articolo 31,0.91975116509918076
ensi,0.90815852514774509
priestess,0.89358530776668332
gemitaiz,0.89036457864849161
mike24,0.85494939329341346
baby k,0.84449700968706332
fred de palma,0.83757293631421637
noyz narcos,0.82147589534811283
jack the smoker,0.76796172595303436
shade,0.67401877342663996
salmo,0.6329908462544368
willie peyote,0.61400799396790406
il tre,0.55576496955082644
mr. rain,0.52569245657732744
drefgold,0.44447265446238599
club dogo,0.4218718938490702
madman,0.40556525543845195
lazza,0.38336469273987756
guè pequeno,0.37429252993310624
nitro,0.23252692326202246
caparezza,0.22840055985192673
slait,0.18779606863967049
thasup,0.1422713724018955
marracash,0.1335329817401214
colle der fomento,0
